,title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
0,"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,22-11-2022 02:03,8,7,green,1,768,us,117,0.509,17.0,mww,14.0,-9.7963,159.596,"Malango, Solomon Islands",Oceania,Solomon Islands
2,M 7.0 - ,7.0,12-11-2022 07:09,3,3,green,1,755,us,147,3.125,18.0,mww,579.0,-20.0508,-178.346,,Oceania,Fiji
8,"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,22-09-2022 06:16,8,7,yellow,1,1179,us,175,2.137,92.0,mww,20.0,18.33,-102.913,"Aguililla, Mexico",North America,Mexico
9,"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,19-09-2022 18:05,9,8,yellow,1,1799,us,271,1.153,69.0,mww,26.943,18.3667,-103.252,"Aguililla, Mexico",North America,Mexico
10,"M 6.9 - 90 km E of Yujing, Taiwan",6.9,18-09-2022 06:44,9,9,yellow,1,887,us,215,0.401,34.0,mww,10.0,23.1444,121.307,"Yujing, Taiwan",Asia,Taiwan
11,"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,17-09-2022 13:41,7,7,green,1,756,us,178,0.43,54.0,mww,10.0,23.029,121.348,"Lugu, Taiwan",Asia,Taiwan
13,"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,10-09-2022 23:47,8,8,yellow,1,965,us,272,3.158,12.0,mww,116.0,-6.2237,146.471,"Kainantu, Papua New Guinea",Oceania,Papua New Guinea
14,"M 6.6 - 44 km SE of Kangding, China",6.6,05-09-2022 04:52,9,8,orange,0,1043,us,141,8.454,34.0,mww,12.0,29.7263,102.279,"Kangding, China",Asia,People's Republic of China
16,"M 7.0 - 11 km NE of Bantay, Philippines",7.0,27-07-2022 00:43,9,8,yellow,1,1351,us,152,5.276,22.0,mww,33.729,17.5978,120.809,"Bantay, Philippines",Asia,Philippines
17,"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,08-06-2022 00:55,3,2,green,0,653,us,236,1.999,31.0,mww,622.73,-9.0618,-71.1647,"Tarauacá, Brazil",South America,Brazil
18,"M 7.2 - 10 km W of Azángaro, Peru",7.2,26-05-2022 12:02,7,5,green,1,876,us,144,2.494,40.0,mww,236.0,-14.8628,-70.3081,"Azángaro, Peru",South America,Peru
20,"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,10-05-2022 23:06,6,5,green,1,762,us,162,1.505,30.0,mww,220.0,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",South America,Argentina
24,"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,22-03-2022 17:41,8,7,green,1,806,us,0,0.289,32.0,mww,24.0,23.3421,121.636,"Hualien City, Taiwan",Asia,Taiwan
26,"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,13-03-2022 21:09,9,6,green,0,708,us,0,2.188,43.0,mww,28.0,-0.6831,98.6034,"Pariaman, Indonesia",Asia,Indonesia
29,"M 6.5 - 49 km NW of Barranca, Peru",6.5,03-02-2022 15:58,8,6,green,0,690,us,0,3.026,22.0,mww,110.0,-4.455,-76.9395,"Barranca, Peru",South America,Peru
39,"M 6.6 - northern Qinghai, China",6.6,07-01-2022 17:45,9,8,orange,0,1012,us,0,2.685,13.0,mww,13.0,37.8167,101.299,"northern Qinghai, China",Asia,People's Republic of China
41,M 7.3 - Flores Sea,7.3,14-12-2021 03:20,9,5,green,1,854,us,0,1.025,32.0,mww,14.27,-7.6033,122.2,Flores Sea,Asia,Indonesia
42,"M 7.5 - 43 km NNW of Barranca, Peru",7.5,28-11-2021 10:52,8,8,yellow,1,1094,us,0,4.951,40.0,mww,126.0,-4.4898,-76.8461,"Barranca, Peru",South America,Peru
44,"M 6.9 - 112 km E of Chignik, Alaska",6.9,11-10-2021 09:10,8,6,green,1,995,ak,0,0.0,0.0,mww,51.6,56.2581,-156.492,"Chignik, Alaska",North America,United States of America
48,"M 7.0 - Acapulco, Mexico",7.0,08-09-2021 01:47,8,8,red,1,2504,us,0,0.07,43.0,mww,20.0,16.9502,-99.7877,"Acapulco, Mexico",North America,Mexico
51,"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,18-08-2021 10:10,8,7,green,1,741,us,0,0.579,54.0,mww,93.0,-14.892,167.085,"Port-Olry, Vanuatu",Oceania,Vanuatu
53,"M 7.2 - Nippes, Haiti",7.2,14-08-2021 12:29,9,8,red,1,2331,us,0,1.178,23.0,mww,10.0,18.3521,-73.4804,"Nippes, Haiti",North America,Haiti
61,"M 6.7 - 15 km S of Hukay, Philippines",6.7,23-07-2021 20:48,8,5,green,1,935,us,0,8.139,12.0,mww,110.0,13.6989,120.713,"Hukay, Philippines",Asia,Philippines
65,"M 7.3 - Southern Qinghai, China",7.3,21-05-2021 18:04,9,9,orange,0,1025,us,0,4.655,9.0,mww,10.0,34.5861,98.2551,"Southern Qinghai, China",Asia,People's Republic of China
68,M 6.9 - ,6.9,01-05-2021 01:27,7,6,green,1,919,us,0,2.619,35.0,mww,43.0,38.2296,141.665,,Asia,Japan
71,"M 7.0 - 30 km E of Ishinomaki, Japan",7.0,20-03-2021 09:09,7,7,yellow,1,1052,us,0,2.378,35.0,mww,43.0,38.4752,141.607,"Ishinomaki, Japan",Asia,Japan
81,"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,11-01-2021 21:32,8,8,green,0,776,us,0,2.043,22.0,mww,10.0,51.2407,100.443,"Turt, Mongolia",Asia,Mongolia
83,"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7.0,30-10-2020 11:51,8,7,orange,0,1527,us,0,1.518,18.0,mww,21.0,37.8973,26.7953,"Néon Karlovásion, Greece",Europe,Greece
84,"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,19-10-2020 20:54,9,7,yellow,1,1165,us,0,0.23,36.0,mww,28.37,54.662,-159.675,"Sand Point, Alaska",North America,United States of America
96,"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,23-06-2020 15:29,8,8,orange,1,1494,us,0,0.151,30.0,mww,20.0,15.9163,-95.9533,"Santa María Xadani, Mexico",North America,Mexico
99,"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,03-06-2020 07:35,6,6,green,1,835,us,0,1.164,21.0,mww,112.0,-23.2966,-68.4204,"San Pedro de Atacama, Chile",South America,Chile
100,"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,15-05-2020 11:03,7,8,green,0,1320,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,"Monte Cristo Range, NV Earthquake",North America,United States of America
104,"M 6.5 - Stanley, Idaho",6.5,31-03-2020 23:52,8,8,green,0,1410,us,0,0.885,31.0,mww,12.06,44.4646,-115.118,"Stanley, Idaho",North America,United States of America
106,"M 7.0 - 95 km ENE of Kuril’sk, Russia",7.0,13-02-2020 10:33,5,6,yellow,1,770,us,0,4.501,25.0,mww,143.0,45.6161,148.959,"Kuril’sk, Russia",Asia,Russia
108,"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,24-01-2020 17:55,8,9,orange,0,1247,us,0,0.87,49.0,mww,10.0,38.4312,39.0609,"Do?anyol, Turkey",Asia,Turkey
125,"M 7.1 - 18km W of Searles Valley, CA",7.1,06-07-2019 03:19,9,9,yellow,0,1646,ci,77,0.04616,43.0,mw,8.0,35.7695,-117.599,"Searles Valley, CA",North America,United States of America
129,"M 8.0 - 78 km NE of Navarro, Peru",8.0,26-05-2019 07:41,9,8,orange,1,1890,us,0,3.18,17.0,mww,122.57,-5.8119,-75.2697,"Navarro, Peru",South America,Peru
134,"M 7.0 - 22 km NNE of Azángaro, Peru",7.0,01-03-2019 08:50,7,4,green,1,869,us,0,2.501,42.0,mww,267.0,-14.7131,-70.1546,"Azángaro, Peru",South America,Peru
135,"M 7.5 - 111km ESE of Palora, Ecuador",7.5,22-02-2019 10:17,7,7,yellow,1,1145,us,0,2.045,15.0,mww,145.0,-2.1862,-77.0505,"Palora, Ecuador",South America,Ecuador
138,"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,20-01-2019 01:32,8,8,orange,1,1600,us,0,0.173,22.0,mww,63.0,-30.0404,-71.3815,"Coquimbo, Chile",South America,Chile
141,"M 6.8 - 90km W of Tarauaca, Brazil",6.8,05-01-2019 19:25,3,3,green,0,715,us,0,1.181,16.0,mww,570.41,-8.144,-71.587,"Tarauaca, Brazil",South America,Brazil
147,"M 7.1 - 1 km SE of Point MacKenzie, Alaska",7.1,30-11-2018 17:29,8,8,orange,1,1790,ak,0,0.0,0.0,mw,46.7,61.3464,-149.955,"Point MacKenzie, Alaska",North America,United States of America
164,"M 6.6 - 27 km ESE of Chitose, Japan",6.6,05-09-2018 18:07,8,9,orange,1,1075,us,0,1.13,32.0,mww,35.0,42.6861,141.929,"Chitose, Japan",Asia,Japan
166,"M 7.1 - 136 km W of Iñapari, Peru",7.1,24-08-2018 09:04,0,3,green,0,776,us,0,3.77,12.0,mww,630.0,-11.0355,-70.8284,"Iñapari, Peru",South America,Peru
172,"M 6.5 - 108 km WSW of Adak, Alaska",6.5,15-08-2018 21:56,6,6,green,1,655,us,0,0.576,22.0,mww,33.93,51.4234,-178.026,"Adak, Alaska",North America,United States of America
175,"M 6.8 - 38 km SE of Boyuibe, Bolivia",6.8,02-04-2018 13:40,5,3,green,0,733,us,0,5.32,16.0,mww,559.0,-20.6588,-63.0058,"Boyuibe, Bolivia",South America,Bolivia
181,"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,16-02-2018 23:39,7,7,yellow,1,1384,us,0,0.142,82.0,mww,22.0,16.3855,-97.9787,"Pinotepa de Don Luis, Mexico",North America,Mexico
190,"M 7.3 - 29 km S of ?alabja, Iraq",7.3,12-11-2017 18:18,8,9,red,0,2790,us,0,0.284,33.0,mww,19.0,34.9109,45.9592,"?alabja, Iraq",Asia,Iran
197,"M 7.1 - 1 km S of Matzaco, Mexico",7.1,19-09-2017 18:14,9,8,,0,1686,us,0,0.984,23.0,mww,48.0,18.5499,-98.4887,"Matzaco, Mexico",North America,Mexico
199,"M 6.5 - 168 km SW of Mawu, China",6.5,08-08-2017 13:19,5,7,yellow,0,707,us,0,11.411,22.0,mww,9.0,33.1926,103.855,"Mawu, China",Asia,People's Republic of China
200,"M 6.6 - 11 km ENE of Kos, Greece",6.6,20-07-2017 22:31,7,7,yellow,0,1064,us,0,0.913,16.0,mww,7.0,36.9293,27.4139,"Kos, Greece",Asia,Turkey
212,"M 6.5 - 132 km WSW of Moijabana, Botswana",6.5,03-04-2017 17:40,7,8,green,0,1297,us,0,2.36,15.0,mww,29.0,-22.6784,25.1558,"Moijabana, Botswana",Africa,Botswana
213,"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,29-03-2017 04:09,6,7,yellow,1,671,us,0,4.591,14.0,mww,17.0,56.9401,162.786,"Ust’-Kamchatsk Staryy, Russia",Asia,Russia
215,"M 6.5 - 41 km E of Padilla, Bolivia",6.5,21-02-2017 14:09,3,3,green,0,653,us,0,4.242,14.0,mww,595.98,-19.2814,-63.9047,"Padilla, Bolivia",South America,Bolivia
221,"M 7.6 - 41 km SW of Quellón, Chile",7.6,25-12-2016 14:22,9,8,yellow,1,1152,us,0,0.355,29.0,mww,38.0,-43.4064,-73.9413,"Quellón, Chile",South America,Chile
229,"M 6.6 - 122 km N of Murghob, Tajikistan",6.6,25-11-2016 14:24,8,7,green,0,693,us,0,1.697,20.0,mww,17.0,39.2732,73.9776,"Murghob, Tajikistan",Asia,People's Republic of China
235,"M 6.6 - 5 km ESE of Preci, Italy",6.6,30-10-2016 06:40,9,8,red,0,2840,us,0,0.174,25.0,mww,8.0,42.8621,13.0961,"Preci, Italy",Europe,Italy
241,"M 6.8 - 26 km W of Chauk, Myanmar",6.8,24-08-2016 10:34,6,6,yellow,0,981,us,0,1.802,17.0,mww,82.0,20.9228,94.569,"Chauk, Myanmar",Asia,Myanmar
247,"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,18-05-2016 16:46,8,7,green,1,780,us,0,1.192,17.0,mww,29.95,0.4947,-79.616,"Rosa Zarate, Ecuador",South America,Ecuador
248,"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,18-05-2016 07:57,5,7,green,1,744,us,0,1.352,21.0,mww,16.0,0.4261,-79.7899,"Muisne, Ecuador",South America,Ecuador
250,"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,16-04-2016 23:58,9,9,orange,1,1163,us,0,1.44,15.0,mww,20.59,0.3819,-79.9218,"Muisne, Ecuador",South America,Ecuador
251,"M 7.0 - 6 km ESE of Kumamoto, Japan",7.0,15-04-2016 16:25,9,9,red,1,2074,us,0,0.349,32.0,mww,10.0,32.7906,130.754,"Kumamoto, Japan",Asia,Japan
252,"M 6.9 - 76 km SE of Mawlaik, Myanmar",6.9,13-04-2016 13:55,6,6,yellow,0,903,us,0,3.001,14.0,mww,136.0,23.0944,94.8654,"Mawlaik, Myanmar",Asia,Myanmar
253,"M 6.6 - 42 km WSW of Ashk?sham, Afghanistan",6.6,10-04-2016 10:28,6,4,green,0,738,us,0,0.789,17.0,mww,212.0,36.4725,71.1311,"Ashk?sham, Afghanistan",Asia,Afghanistan
